Id,Value,Class
0,1.5299577770211772,1
1,-0.051662721051971915,0
2,-0.8762524046936577,0
3,0.07383942971908519,0
4,1.0293568017548536,1
5,-3.0159433460423672,0
6,0.7675699172831744,1
7,-0.16182062557125754,0
8,-0.5987749985928852,0
9,2.14526388790452,1
10,1.1601076768834284,1
11,1.1366081610239969,1
12,1.0935373994656865,1
13,-0.4338910333412169,0
14,1.0646966562285147,1
15,0.3756936404381194,1
16,2.9925816015649938,1
17,0.4665779980707364,1
18,1.491559112409166,1
19,0.17961817619811105,0
20,2.0347538272113703,1
21,1.064583736437772,1
22,0.6867434976824027,1
23,-0.3283612552091932,0
24,0.6880323523907068,1
25,-0.4397076150489423,0
26,2.1178953928954387,1
27,0.6635091971114927,1
28,-1.0194096914644208,0
29,-0.6053519821730147,0
30,1.8777308737567373,1
31,1.247849828154713,1
32,-1.5045025165809431,0
33,1.0294911723634188,1
34,-0.8361525724608293,0
35,0.6087896559294433,1
36,2.364571071149697,1
37,2.306495009279168,1
38,-0.6342505020235407,0
39,0.7902749859102625,1
40,0.10539992096513963,0
41,-0.06322958379701338,0
42,-0.7082831432652366,0
43,2.4908715608096568,1
44,-0.4850248089570162,0
45,1.7156898643638767,1
46,0.5974311605634355,1
47,-1.3532253621789272,0
48,-0.05333590492878026,0
49,-0.3494887916694641,0
50,-0.226385900518846,0
51,1.7960743376221449,1
52,1.2463081724368996,1
53,0.4169319282393238,1
54,0.5811686818465436,1
55,1.1880124997612285,1
56,0.9070901999499151,1
57,0.5096147234795685,1
58,-0.3623184539257546,0
59,1.5156898863421768,1
60,2.6410768066017862,1
61,2.089940557313059,1
62,1.0402344234452383,1
63,0.7159281070177741,1
64,-0.7483357458198897,0
65,1.4112659258161018,1
66,1.0768411049662978,1
67,2.2273883063375104,1
68,2.284067642308468,1
69,-0.08040118789227448,0
70,1.1210172871096062,1
71,0.15557021383089698,0
72,1.097844354609078,1
73,-0.582310924855457,0
74,0.8574980106386586,1
75,-1.8974411957175377,0
76,-0.6818514346958879,0
77,0.7265827351002301,1
78,0.9065142072666844,1
79,0.6603592711106004,1
80,-1.5044541876253796,0
81,2.1372567258550754,1
82,1.557987608487739,1
83,0.7058470984440546,1
84,1.1620440757076826,1
85,1.9375521657393424,1
86,-0.8090371939877361,0
87,-0.12537468478895095,0
88,1.5108753646983233,1
89,1.6291957267798591,1
90,1.7392156766543294,1
91,1.8766320151932376,1
92,0.5380833441513028,1
93,0.4053870081827357,1
94,-0.03005136694934685,0
95,-1.4997920492837582,0
96,0.3325947086912273,1
97,0.19900067483702588,0
98,-0.2218372806481038,0
99,1.7127407011130182,1
